      x         r        z        B_phi      B_r     B_z
     0.00      4.00    -73.00      0.00   2251.30  44037.00
     0.00      4.00    -72.50      0.00   2396.70  43438.00
     0.00      4.00    -72.00      0.00   2532.60  42802.00
     0.00      4.00    -71.50      0.00   2658.60  42133.00
     0.00      4.00    -71.00      0.00   2774.30  41433.00
     0.00      4.00    -70.50      0.00   2879.50  40706.00
     0.00      4.00    -70.00      0.00   2973.90  39953.00
     0.00      4.00    -69.50      0.00   3057.50  39177.00
     0.00      4.00    -69.00      0.00   3130.20  38382.00
     0.00      4.50    -79.00      0.00      0.00  47920.00
     0.00      4.50    -78.50      0.00    234.69  47893.00
     0.00      4.50    -78.00      0.00    468.45  47812.00
     0.00      4.50    -77.50      0.00    700.34  47677.00
     0.00      4.50    -77.00      0.00    929.42  47488.00
     0.00      4.50    -76.50      0.00   1154.80  47247.00
     0.00      4.50    -76.00      0.00   1375.50  46955.00
     0.00      4.50    -75.50      0.00   1590.70  46612.00
     0.00      4.50    -75.00      0.00   1799.50  46220.00
     0.00      4.50    -74.50      0.00   2001.00  45781.00
     0.00      4.50    -74.00      0.00   2194.40  45296.00
     0.00      4.50    -73.50      0.00   2379.00  44767.00
     0.00      4.50    -73.00      0.00   2553.90  44197.00
     0.00      4.50    -72.50      0.00   2718.70  43588.00
     0.00      4.50    -72.00      0.00   2872.60  42942.00
     0.00      4.50    -71.50      0.00   3015.10  42262.00
     0.00      4.50    -71.00      0.00   3146.00  41551.00
     0.00      4.50    -70.50      0.00   3264.70  40812.00
     0.00      4.50    -70.00      0.00   3371.20  40047.00
     0.00      4.50    -69.50      0.00   3465.30  39260.00
     0.00      4.50    -69.00      0.00   3547.00  38454.00
     0.00      5.00    -79.00      0.00      0.00  48169.00
     0.00      5.00    -78.50      0.00    263.22  48142.00
     0.00      5.00    -78.00      0.00    525.39  48059.00
     0.00      5.00    -77.50      0.00    785.48  47921.00
     0.00      5.00    -77.00      0.00   1042.40  47730.00
     0.00      5.00    -76.50      0.00   1295.20  47484.00
     0.00      5.00    -76.00      0.00   1542.80  47186.00
     0.00      5.00    -75.50      0.00   1784.20  46837.00
     0.00      5.00    -75.00      0.00   2018.40  46438.00
     0.00      5.00    -74.50      0.00   2244.40  45990.00
     0.00      5.00    -74.00      0.00   2461.30  45496.00
     0.00      5.00    -73.50      0.00   2668.20  44958.00
     0.00      5.00    -73.00      0.00   2864.30  44377.00
     0.00      5.00    -72.50      0.00   3048.80  43757.00
     0.00      5.00    -72.00      0.00   3221.10  43099.00
     0.00      5.00    -71.50      0.00   3380.60  42407.00
     0.00      5.00    -71.00      0.00   3526.70  41683.00
     0.00      5.00    -70.50      0.00   3659.30  40931.00
     0.00      5.00    -70.00      0.00   3777.90  40153.00
     0.00      5.00    -69.50      0.00   3882.50  39353.00
     0.00      5.00    -69.00      0.00   3973.00  38533.00
     0.00      5.50    -79.00      0.00      0.00  48447.00
     0.00      5.50    -78.50      0.00    292.53  48419.00
     0.00      5.50    -78.00      0.00    583.91  48335.00
     0.00      5.50    -77.50      0.00    872.98  48194.00
     0.00      5.50    -77.00      0.00   1158.60  47999.00
     0.00      5.50    -76.50      0.00   1439.60  47748.00
     0.00      5.50    -76.00      0.00   1714.80  47444.00
     0.00      5.50    -75.50      0.00   1983.10  47088.00
     0.00      5.50    -75.00      0.00   2243.40  46681.00
     0.00      5.50    -74.50      0.00   2494.60  46224.00
     0.00      5.50    -74.00      0.00   2735.70  45720.00
     0.00      5.50    -73.50      0.00   2965.60  45170.00
     0.00      5.50    -73.00      0.00   3183.40  44578.00
     0.00      5.50    -72.50      0.00   3388.20  43945.00
     0.00      5.50    -72.00      0.00   3579.30  43274.00
     0.00      5.50    -71.50      0.00   3756.10  42568.00
     0.00      5.50    -71.00      0.00   3917.90  41830.00
     0.00      5.50    -70.50      0.00   4064.40  41063.00
     0.00      5.50    -70.00      0.00   4195.20  40271.00
     0.00      5.50    -69.50      0.00   4310.30  39455.00
     0.00      5.50    -69.00      0.00   4409.70  38621.00
     0.00      6.00    -79.00      0.00      0.00  48755.00
     0.00      6.00    -78.50      0.00    322.72  48726.00
     0.00      6.00    -78.00      0.00    644.17  48640.00
     0.00      6.00    -77.50      0.00    963.09  48497.00
     0.00      6.00    -77.00      0.00   1278.20  48297.00
     0.00      6.00    -76.50      0.00   1588.30  48041.00
     0.00      6.00    -76.00      0.00   1892.00  47730.00
     0.00      6.00    -75.50      0.00   2188.10  47366.00
     0.00      6.00    -75.00      0.00   2475.30  46950.00
     0.00      6.00    -74.50      0.00   2752.60  46483.00
     0.00      6.00    -74.00      0.00   3018.50  45968.00
     0.00      6.00    -73.50      0.00   3272.10  45406.00
     0.00      6.00    -73.00      0.00   3512.30  44800.00
     0.00      6.00    -72.50      0.00   3738.00  44153.00
     0.00      6.00    -72.00      0.00   3948.50  43467.00
     0.00      6.00    -71.50      0.00   4142.90  42746.00
     0.00      6.00    -71.00      0.00   4320.70  41992.00
     0.00      6.00    -70.50      0.00   4481.40  41208.00
     0.00      6.00    -70.00      0.00   4624.60  40399.00
     0.00      6.00    -69.50      0.00   4750.20  39567.00
     0.00      6.00    -69.00      0.00   4858.20  38716.00
     0.00      6.50    -79.00      0.00      0.00  49094.00
     0.00      6.50    -78.50      0.00    353.86  49064.00
     0.00      6.50    -78.00      0.00    706.34  48976.00
     0.00      6.50    -77.50      0.00   1056.10  48829.00
     0.00      6.50    -77.00      0.00   1401.70  48625.00
     0.00      6.50    -76.50      0.00   1741.70  48363.00
     0.00      6.50    -76.00      0.00   2074.90  48045.00
     0.00      6.50    -75.50      0.00   2399.70  47672.00
     0.00      6.50    -75.00      0.00   2714.90  47246.00
     0.00      6.50    -74.50      0.00   3019.00  46768.00
     0.00      6.50    -74.00      0.00   3310.80  46240.00
     0.00      6.50    -73.50      0.00   3588.90  45665.00
     0.00      6.50    -73.00      0.00   3852.20  45044.00
     0.00      6.50    -72.50      0.00   4099.50  44382.00
     0.00      6.50    -72.00      0.00   4329.90  43679.00
     0.00      6.50    -71.50      0.00   4542.50  42940.00
     0.00      6.50    -71.00      0.00   4736.60  42169.00
     0.00      6.50    -70.50      0.00   4911.60  41367.00
     0.00      6.50    -70.00      0.00   5067.30  40539.00
     0.00      6.50    -69.50      0.00   5203.40  39689.00
     0.00      6.50    -69.00      0.00   5320.00  38819.00
     0.00      7.00    -79.00      0.00      0.00  49464.00
     0.00      7.00    -78.50      0.00    386.03  49433.00
     0.00      7.00    -78.00      0.00    770.58  49343.00
     0.00      7.00    -77.50      0.00   1152.20  49193.00
     0.00      7.00    -77.00      0.00   1529.30  48983.00
     0.00      7.00    -76.50      0.00   1900.40  48715.00
     0.00      7.00    -76.00      0.00   2264.10  48389.00
     0.00      7.00    -75.50      0.00   2618.70  48007.00
     0.00      7.00    -75.00      0.00   2962.80  47570.00
     0.00      7.00    -74.50      0.00   3294.90  47080.00
     0.00      7.00    -74.00      0.00   3613.40  46538.00
     0.00      7.00    -73.50      0.00   3917.00  45948.00
     0.00      7.00    -73.00      0.00   4204.30  45311.00
     0.00      7.00    -72.50      0.00   4473.90  44631.00
     0.00      7.00    -72.00      0.00   4724.90  43911.00
     0.00      7.00    -71.50      0.00   4956.20  43153.00
     0.00      7.00    -71.00      0.00   5167.00  42361.00
     0.00      7.00    -70.50      0.00   5356.80  41539.00
     0.00      7.00    -70.00      0.00   5525.00  40691.00
     0.00      7.00    -69.50      0.00   5671.60  39820.00
     0.00      7.00    -69.00      0.00   5796.50  38930.00


